Item,Year Code,Year,Value,refValue
Beer or barley,2000,2000,363247,363
Coconut oil,2000,2000,420000,4200
Cotton lint,2000,2000,1640900,1641
Cotton seed,2000,2000,3333000,3333
Cottonseed oil,2000,2000,460000,460
Groundnut oil,2000,2000,1474000,1474
Margarine and shortening,2000,2000,1320000,1320
Molasses,2000,2000,8022000,8022
Oil of linseed,2000,2000,72000,72
Oil of maize,2000,2000,4500,5
Oil of sesame seed,2000,2000,120000,120
Rapeseed or canola oil,2000,2000,1794000,1794
Raw cane or beet sugar,2000,2000,20219000,20219
Safflower seed oil,2000,2000,78000,78
Soya bean oil,2000,2000,845000,845
Sunflower seed oil,2000,2000,215000,215
